,0,Modelo
0,0.12341779159496684,"TCNN (Rs, u2, Tmax, Tmin, RH, ETo)"
0,0.12292303463485217,"TCNN (Rs, u2, Tmax, Tmin, RH, ETo)"
0,0.12251543607083973,"TCNN (Rs, u2, Tmax, Tmin, RH, ETo)"
0,0.12212556787114352,"TCNN (Rs, u2, Tmax, Tmin, RH, ETo)"
0,0.1221726417724828,"TCNN (Rs, u2, Tmax, Tmin, RH, ETo)"
0,0.12221066863043847,"TCNN (Rs, u2, Tmax, Tmin, RH, ETo)"
0,0.12353870960098463,"TCNN (Rs, u2, Tmax, Tmin, RH, ETo)"
0,0.12303070406400814,"TCNN (Rs, u2, Tmax, Tmin, RH, ETo)"
0,0.12404739956588487,"TCNN (Rs, u2, Tmax, Tmin, RH, ETo)"
0,0.12276259281709252,"TCNN (Rs, u2, Tmax, Tmin, RH, ETo)"
0,0.12269199008526724,"TCNN (Rs, u2, Tmax, Tmin, RH, ETo)"
0,0.12342501288542043,"TCNN (Rs, u2, Tmax, Tmin, RH, ETo)"
0,0.12175751182345032,"TCNN (Rs, u2, Tmax, Tmin, RH, ETo)"
0,0.12382882475511241,"TCNN (Rs, u2, Tmax, Tmin, RH, ETo)"
0,0.12464235105697585,"TCNN (Rs, u2, Tmax, Tmin, RH, ETo)"
0,0.12219589368239618,"TCNN (Rs, u2, Tmax, Tmin, RH, ETo)"
0,0.12265529274128653,"TCNN (Rs, u2, Tmax, Tmin, RH, ETo)"
0,0.12177866706086146,"TCNN (Rs, u2, Tmax, Tmin, RH, ETo)"
0,0.1234534103752271,"TCNN (Rs, u2, Tmax, Tmin, RH, ETo)"
0,0.12268326126473043,"TCNN (Rs, u2, Tmax, Tmin, RH, ETo)"
0,0.1228989648014734,"TCNN (Rs, u2, Tmax, Tmin, RH, ETo)"
0,0.12338949842818862,"TCNN (Rs, u2, Tmax, Tmin, RH, ETo)"
0,0.12311192790109864,"TCNN (Rs, u2, Tmax, Tmin, RH, ETo)"
0,0.12232855078414136,"TCNN (Rs, u2, Tmax, Tmin, RH, ETo)"
0,0.12323896235066231,"TCNN (Rs, u2, Tmax, Tmin, RH, ETo)"
0,0.12276621460573285,"TCNN (Rs, u2, Tmax, Tmin, RH, ETo)"
0,0.12278111640323337,"TCNN (Rs, u2, Tmax, Tmin, RH, ETo)"
0,0.12277106756391691,"TCNN (Rs, u2, Tmax, Tmin, RH, ETo)"
0,0.12427148921354962,"TCNN (Rs, u2, Tmax, Tmin, RH, ETo)"
0,0.12224524383950523,"TCNN (Rs, u2, Tmax, Tmin, RH, ETo)"
